strain,id,day,antibiotic,concentration,OD
BW25113,14,5,nalidixic acid,0.5,0.531
BW25113,15,5,nalidixic acid,0.5,0.162
BW25113,1,6,nalidixic acid,1,0.032
BW25113,2,6,nalidixic acid,1,0.03
BW25113,3,6,nalidixic acid,1,0.036
BW25113,4,6,nalidixic acid,1,0.028
BW25113,5,6,nalidixic acid,1,0.031
BW25113,6,6,nalidixic acid,1,0.029
BW25113,7,6,nalidixic acid,1,0.029
BW25113,8,6,nalidixic acid,1,0.028
BW25113,9,6,nalidixic acid,1,0.029
BW25113,10,6,nalidixic acid,1,0.028
BW25113,11,6,nalidixic acid,1,0.058
BW25113,12,6,nalidixic acid,1,0.045
BW25113,13,6,nalidixic acid,1,0.04
BW25113,14,6,nalidixic acid,1,0.031
BW25113,15,6,nalidixic acid,1,0.028
BW25113,1,7,nalidixic acid,2,0.031
BW25113,2,7,nalidixic acid,2,0.032
BW25113,3,7,nalidixic acid,2,0.031
BW25113,4,7,nalidixic acid,2,0.031
BW25113,5,7,nalidixic acid,2,0.028
BW25113,6,7,nalidixic acid,2,0.08
BW25113,7,7,nalidixic acid,2,0.065
BW25113,8,7,nalidixic acid,2,0.053
BW25113,9,7,nalidixic acid,2,0.035
BW25113,10,7,nalidixic acid,2,0.032
BW25113,11,7,nalidixic acid,2,0.109
BW25113,12,7,nalidixic acid,2,0.107
BW25113,13,7,nalidixic acid,2,0.104
BW25113,14,7,nalidixic acid,2,0.106
BW25113,15,7,nalidixic acid,2,0.101
BW25113,16,1,nalidixic acid,0,1.57
BW25113,17,1,nalidixic acid,0,1.561
BW25113,18,1,nalidixic acid,0,1.537
BW25113,19,1,nalidixic acid,0,1.53
BW25113,20,1,nalidixic acid,0,1.546
BW25113,21,1,nalidixic acid,0,1.469
BW25113,22,1,nalidixic acid,0,1.45
BW25113,23,1,nalidixic acid,0,1.514
BW25113,24,1,nalidixic acid,0,1.462
BW25113,25,1,nalidixic acid,0,1.469
BW25113,26,1,nalidixic acid,0,1.492
BW25113,27,1,nalidixic acid,0,1.487
BW25113,28,1,nalidixic acid,0,1.456
BW25113,29,1,nalidixic acid,0,1.481
BW25113,30,1,nalidixic acid,0,1.543
BW25113,16,2,nalidixic acid,0.0625,1.643
BW25113,17,2,nalidixic acid,0.0625,1.636
BW25113,18,2,nalidixic acid,0.0625,1.636
BW25113,19,2,nalidixic acid,0.0625,1.621
BW25113,20,2,nalidixic acid,0.0625,1.63
BW25113,21,2,nalidixic acid,0.0625,1.577
BW25113,22,2,nalidixic acid,0.0625,1.599
BW25113,23,2,nalidixic acid,0.0625,1.611
BW25113,24,2,nalidixic acid,0.0625,1.615
BW25113,25,2,nalidixic acid,0.0625,1.585
BW25113,26,2,nalidixic acid,0.0625,1.479
BW25113,27,2,nalidixic acid,0.0625,1.478
BW25113,28,2,nalidixic acid,0.0625,1.482
BW25113,29,2,nalidixic acid,0.0625,1.532
BW25113,30,2,nalidixic acid,0.0625,1.471
BW25113,16,3,nalidixic acid,0.125,0.768
BW25113,17,3,nalidixic acid,0.125,0.995
BW25113,18,3,nalidixic acid,0.125,1.405
BW25113,19,3,nalidixic acid,0.125,1.136
BW25113,20,3,nalidixic acid,0.125,0.919
BW25113,21,3,nalidixic acid,0.125,1.76
BW25113,22,3,nalidixic acid,0.125,1.766
BW25113,23,3,nalidixic acid,0.125,1.636
BW25113,24,3,nalidixic acid,0.125,0.353
BW25113,25,3,nalidixic acid,0.125,0.688
BW25113,26,3,nalidixic acid,0.125,0.91
BW25113,27,3,nalidixic acid,0.125,0.386
BW25113,28,3,nalidixic acid,0.125,1.755
BW25113,29,3,nalidixic acid,0.125,0.518
BW25113,30,3,nalidixic acid,0.125,1.678
BW25113,16,4,nalidixic acid,0.25,1.155
BW25113,17,4,nalidixic acid,0.25,1.526
BW25113,18,4,nalidixic acid,0.25,1.046
BW25113,19,4,nalidixic acid,0.25,0.56
BW25113,20,4,nalidixic acid,0.25,0.972
BW25113,21,4,nalidixic acid,0.25,1.128
BW25113,22,4,nalidixic acid,0.25,1.546
BW25113,23,4,nalidixic acid,0.25,0.994
BW25113,24,4,nalidixic acid,0.25,0.025
BW25113,25,4,nalidixic acid,0.25,0.624
BW25113,26,4,nalidixic acid,0.25,0.458
BW25113,27,4,nalidixic acid,0.25,0.027
BW25113,28,4,nalidixic acid,0.25,1.2
BW25113,29,4,nalidixic acid,0.25,0.026
BW25113,30,4,nalidixic acid,0.25,1.072
BW25113,16,5,nalidixic acid,0.5,0.033
BW25113,17,5,nalidixic acid,0.5,0.572
BW25113,18,5,nalidixic acid,0.5,0.875
BW25113,19,5,nalidixic acid,0.5,0.049
BW25113,20,5,nalidixic acid,0.5,0.918
BW25113,21,5,nalidixic acid,0.5,0.697
BW25113,22,5,nalidixic acid,0.5,0.864
BW25113,23,5,nalidixic acid,0.5,0.063
BW25113,24,5,nalidixic acid,0.5,0.035
BW25113,25,5,nalidixic acid,0.5,0.117
BW25113,26,5,nalidixic acid,0.5,0.113
BW25113,27,5,nalidixic acid,0.5,0.102
BW25113,28,5,nalidixic acid,0.5,0.802
BW25113,29,5,nalidixic acid,0.5,0.096
BW25113,30,5,nalidixic acid,0.5,0.222
BW25113,16,6,nalidixic acid,1,0.033
BW25113,17,6,nalidixic acid,1,0.105
BW25113,18,6,nalidixic acid,1,0.08
BW25113,19,6,nalidixic acid,1,0.035
BW25113,20,6,nalidixic acid,1,0.033
BW25113,21,6,nalidixic acid,1,0.142
BW25113,22,6,nalidixic acid,1,0.109
BW25113,23,6,nalidixic acid,1,0.097
BW25113,24,6,nalidixic acid,1,0.077
BW25113,25,6,nalidixic acid,1,0.058
BW25113,26,6,nalidixic acid,1,0.184
BW25113,27,6,nalidixic acid,1,0.179
BW25113,28,6,nalidixic acid,1,0.171
BW25113,29,6,nalidixic acid,1,0.165
BW25113,30,6,nalidixic acid,1,0.161
BW25113,16,7,nalidixic acid,2,0.029
BW25113,17,7,nalidixic acid,2,0.028
BW25113,18,7,nalidixic acid,2,0.028
BW25113,19,7,nalidixic acid,2,0.028
BW25113,20,7,nalidixic acid,2,0.028
BW25113,21,7,nalidixic acid,2,0.055
BW25113,22,7,nalidixic acid,2,0.045
BW25113,23,7,nalidixic acid,2,0.037
BW25113,24,7,nalidixic acid,2,0.034
BW25113,25,7,nalidixic acid,2,0.033
BW25113,26,7,nalidixic acid,2,0.031
BW25113,27,7,nalidixic acid,2,0.03
BW25113,28,7,nalidixic acid,2,0.033
BW25113,29,7,nalidixic acid,2,0.037
BW25113,30,7,nalidixic acid,2,0.043
BW25113,31,1,nalidixic acid,0,1.546
BW25113,32,1,nalidixic acid,0,1.566
BW25113,33,1,nalidixic acid,0,1.573
BW25113,34,1,nalidixic acid,0,1.544
BW25113,35,1,nalidixic acid,0,1.564
BW25113,36,1,nalidixic acid,0,1.538
BW25113,37,1,nalidixic acid,0,1.482
BW25113,38,1,nalidixic acid,0,1.47
BW25113,39,1,nalidixic acid,0,1.501
BW25113,40,1,nalidixic acid,0,1.501
BW25113,41,1,nalidixic acid,0,1.484
BW25113,42,1,nalidixic acid,0,1.502
BW25113,43,1,nalidixic acid,0,1.486
BW25113,44,1,nalidixic acid,0,1.506
BW25113,45,1,nalidixic acid,0,1.504
BW25113,31,2,nalidixic acid,0.0625,1.595
BW25113,32,2,nalidixic acid,0.0625,1.481
BW25113,33,2,nalidixic acid,0.0625,1.481
BW25113,34,2,nalidixic acid,0.0625,1.521
BW25113,35,2,nalidixic acid,0.0625,1.097
BW25113,36,2,nalidixic acid,0.0625,1.553
BW25113,37,2,nalidixic acid,0.0625,1.493
BW25113,38,2,nalidixic acid,0.0625,1.567
BW25113,39,2,nalidixic acid,0.0625,1.495
BW25113,40,2,nalidixic acid,0.0625,1.315
BW25113,41,2,nalidixic acid,0.0625,1.377
BW25113,42,2,nalidixic acid,0.0625,1.544
BW25113,43,2,nalidixic acid,0.0625,1.562
BW25113,44,2,nalidixic acid,0.0625,1.547
BW25113,45,2,nalidixic acid,0.0625,1.555
BW25113,31,3,nalidixic acid,0.125,1.56
BW25113,32,3,nalidixic acid,0.125,0.121
BW25113,33,3,nalidixic acid,0.125,0.134
BW25113,34,3,nalidixic acid,0.125,0.972
BW25113,35,3,nalidixic acid,0.125,1.643
BW25113,36,3,nalidixic acid,0.125,1.597
BW25113,37,3,nalidixic acid,0.125,1.461
BW25113,38,3,nalidixic acid,0.125,1.376
BW25113,39,3,nalidixic acid,0.125,1.238
BW25113,40,3,nalidixic acid,0.125,1.78
BW25113,41,3,nalidixic acid,0.125,0.296
BW25113,42,3,nalidixic acid,0.125,0.865
BW25113,43,3,nalidixic acid,0.125,0.833
BW25113,44,3,nalidixic acid,0.125,1.244
BW25113,45,3,nalidixic acid,0.125,1.591
BW25113,31,4,nalidixic acid,0.25,1.482
BW25113,32,4,nalidixic acid,0.25,0.117
BW25113,33,4,nalidixic acid,0.25,0.03
BW25113,34,4,nalidixic acid,0.25,0.749
BW25113,35,4,nalidixic acid,0.25,1.449
BW25113,36,4,nalidixic acid,0.25,0.838
BW25113,37,4,nalidixic acid,0.25,0.328
BW25113,38,4,nalidixic acid,0.25,0.649
BW25113,39,4,nalidixic acid,0.25,0.083
BW25113,40,4,nalidixic acid,0.25,1.264
BW25113,41,4,nalidixic acid,0.25,0.033
BW25113,42,4,nalidixic acid,0.25,1.115
BW25113,43,4,nalidixic acid,0.25,0.035
BW25113,44,4,nalidixic acid,0.25,0.175
BW25113,45,4,nalidixic acid,0.25,1.309
BW25113,31,5,nalidixic acid,0.5,0.397
BW25113,32,5,nalidixic acid,0.5,0.031
BW25113,33,5,nalidixic acid,0.5,0.031
BW25113,34,5,nalidixic acid,0.5,0.224
BW25113,35,5,nalidixic acid,0.5,1.273
BW25113,36,5,nalidixic acid,0.5,0.181
BW25113,37,5,nalidixic acid,0.5,0.235
BW25113,38,5,nalidixic acid,0.5,0.239
BW25113,39,5,nalidixic acid,0.5,0.035
BW25113,40,5,nalidixic acid,0.5,0.3
BW25113,41,5,nalidixic acid,0.5,0.031
BW25113,42,5,nalidixic acid,0.5,0.116
BW25113,43,5,nalidixic acid,0.5,0.03
BW25113,44,5,nalidixic acid,0.5,0.03
BW25113,45,5,nalidixic acid,0.5,1.388
BW25113,31,6,nalidixic acid,1,0.035
BW25113,32,6,nalidixic acid,1,0.03
BW25113,33,6,nalidixic acid,1,0.03
BW25113,34,6,nalidixic acid,1,0.029
BW25113,35,6,nalidixic acid,1,0.031
BW25113,36,6,nalidixic acid,1,0.133
BW25113,37,6,nalidixic acid,1,0.123
BW25113,38,6,nalidixic acid,1,0.111
BW25113,39,6,nalidixic acid,1,0.097
BW25113,40,6,nalidixic acid,1,0.081
BW25113,41,6,nalidixic acid,1,0.182
BW25113,42,6,nalidixic acid,1,0.178
BW25113,43,6,nalidixic acid,1,0.174
BW25113,44,6,nalidixic acid,1,0.169
BW25113,45,6,nalidixic acid,1,1.387
BW25113,31,7,nalidixic acid,2,0.03
BW25113,32,7,nalidixic acid,2,0.029
BW25113,33,7,nalidixic acid,2,0.03
BW25113,34,7,nalidixic acid,2,0.033
BW25113,35,7,nalidixic acid,2,0.031
BW25113,36,7,nalidixic acid,2,0.031
BW25113,37,7,nalidixic acid,2,0.029
BW25113,38,7,nalidixic acid,2,0.029
BW25113,39,7,nalidixic acid,2,0.031
BW25113,40,7,nalidixic acid,2,0.03
BW25113,41,7,nalidixic acid,2,0.033
BW25113,42,7,nalidixic acid,2,0.03
BW25113,43,7,nalidixic acid,2,0.031
BW25113,44,7,nalidixic acid,2,0.032
BW25113,45,7,nalidixic acid,2,1.171
ΔmutS,1,1,nalidixic acid,0,1.62
ΔmutS,2,1,nalidixic acid,0,1.647
ΔmutS,3,1,nalidixic acid,0,1.62
ΔmutS,4,1,nalidixic acid,0,1.652
ΔmutS,5,1,nalidixic acid,0,1.553
ΔmutS,6,1,nalidixic acid,0,1.573
ΔmutS,7,1,nalidixic acid,0,1.603
ΔmutS,8,1,nalidixic acid,0,1.574
ΔmutS,9,1,nalidixic acid,0,1.584
ΔmutS,10,1,nalidixic acid,0,1.58
ΔmutS,11,1,nalidixic acid,0,1.494
ΔmutS,12,1,nalidixic acid,0,1.546
ΔmutS,13,1,nalidixic acid,0,1.522
ΔmutS,14,1,nalidixic acid,0,1.581
ΔmutS,15,1,nalidixic acid,0,1.482
ΔmutS,1,2,nalidixic acid,0.0625,1.607
ΔmutS,2,2,nalidixic acid,0.0625,1.586
ΔmutS,3,2,nalidixic acid,0.0625,1.53
ΔmutS,4,2,nalidixic acid,0.0625,1.675
ΔmutS,5,2,nalidixic acid,0.0625,1.575
ΔmutS,6,2,nalidixic acid,0.0625,1.492
ΔmutS,7,2,nalidixic acid,0.0625,1.661
ΔmutS,8,2,nalidixic acid,0.0625,1.642
ΔmutS,9,2,nalidixic acid,0.0625,1.708
ΔmutS,10,2,nalidixic acid,0.0625,1.508
ΔmutS,11,2,nalidixic acid,0.0625,1.204
ΔmutS,12,2,nalidixic acid,0.0625,1.228
ΔmutS,13,2,nalidixic acid,0.0625,1.318
ΔmutS,14,2,nalidixic acid,0.0625,1.532
ΔmutS,15,2,nalidixic acid,0.0625,1.464
ΔmutS,1,3,nalidixic acid,0.125,1.49
ΔmutS,2,3,nalidixic acid,0.125,1.543
ΔmutS,3,3,nalidixic acid,0.125,1.512
ΔmutS,4,3,nalidixic acid,0.125,1.565
ΔmutS,5,3,nalidixic acid,0.125,1.535
ΔmutS,6,3,nalidixic acid,0.125,1.548
ΔmutS,7,3,nalidixic acid,0.125,1.487
ΔmutS,8,3,nalidixic acid,0.125,1.547
ΔmutS,9,3,nalidixic acid,0.125,1.45
ΔmutS,10,3,nalidixic acid,0.125,1.607
ΔmutS,11,3,nalidixic acid,0.125,1.582
ΔmutS,12,3,nalidixic acid,0.125,1.495
ΔmutS,13,3,nalidixic acid,0.125,1.373
ΔmutS,14,3,nalidixic acid,0.125,1.604
ΔmutS,15,3,nalidixic acid,0.125,1.675
ΔmutS,1,4,nalidixic acid,0.25,1.525
ΔmutS,2,4,nalidixic acid,0.25,1.523
ΔmutS,3,4,nalidixic acid,0.25,1.515
ΔmutS,4,4,nalidixic acid,0.25,1.459
ΔmutS,5,4,nalidixic acid,0.25,1.491
ΔmutS,6,4,nalidixic acid,0.25,1.451
ΔmutS,7,4,nalidixic acid,0.25,1.483
ΔmutS,8,4,nalidixic acid,0.25,1.488
ΔmutS,9,4,nalidixic acid,0.25,1.489
ΔmutS,10,4,nalidixic acid,0.25,1.405
ΔmutS,11,4,nalidixic acid,0.25,1.482
ΔmutS,12,4,nalidixic acid,0.25,1.236
ΔmutS,13,4,nalidixic acid,0.25,1.334
ΔmutS,14,4,nalidixic acid,0.25,1.445
ΔmutS,15,4,nalidixic acid,0.25,1.381
ΔmutS,1,5,nalidixic acid,0.5,1.575
ΔmutS,2,5,nalidixic acid,0.5,1.44
ΔmutS,3,5,nalidixic acid,0.5,1.514
ΔmutS,4,5,nalidixic acid,0.5,1.382
ΔmutS,5,5,nalidixic acid,0.5,1.393
ΔmutS,6,5,nalidixic acid,0.5,1.665
ΔmutS,7,5,nalidixic acid,0.5,1.585
ΔmutS,8,5,nalidixic acid,0.5,1.615
ΔmutS,9,5,nalidixic acid,0.5,1.541
ΔmutS,10,5,nalidixic acid,0.5,1.431
ΔmutS,11,5,nalidixic acid,0.5,1.546
ΔmutS,12,5,nalidixic acid,0.5,1.282
ΔmutS,13,5,nalidixic acid,0.5,1.113
ΔmutS,14,5,nalidixic acid,0.5,1.496
ΔmutS,15,5,nalidixic acid,0.5,1.554
ΔmutS,1,6,nalidixic acid,1,1.459
ΔmutS,2,6,nalidixic acid,1,1.581
ΔmutS,3,6,nalidixic acid,1,1.372
ΔmutS,4,6,nalidixic acid,1,1.416
ΔmutS,5,6,nalidixic acid,1,1.385
ΔmutS,6,6,nalidixic acid,1,1.41
ΔmutS,7,6,nalidixic acid,1,1.384
ΔmutS,8,6,nalidixic acid,1,1.528
ΔmutS,9,6,nalidixic acid,1,1.503
ΔmutS,10,6,nalidixic acid,1,1.252
ΔmutS,11,6,nalidixic acid,1,1.425
ΔmutS,12,6,nalidixic acid,1,1.399
ΔmutS,13,6,nalidixic acid,1,1.335
ΔmutS,14,6,nalidixic acid,1,1.422
ΔmutS,15,6,nalidixic acid,1,1.379
ΔmutS,1,7,nalidixic acid,2,1.499
ΔmutS,2,7,nalidixic acid,2,1.47
ΔmutS,3,7,nalidixic acid,2,1.496
ΔmutS,4,7,nalidixic acid,2,1.495
ΔmutS,5,7,nalidixic acid,2,1.23
ΔmutS,6,7,nalidixic acid,2,1.532
ΔmutS,7,7,nalidixic acid,2,1.342
ΔmutS,8,7,nalidixic acid,2,1.369
ΔmutS,9,7,nalidixic acid,2,1.706
ΔmutS,10,7,nalidixic acid,2,1.186
ΔmutS,11,7,nalidixic acid,2,1.188
ΔmutS,12,7,nalidixic acid,2,1.28
ΔmutS,13,7,nalidixic acid,2,1.281
ΔmutS,14,7,nalidixic acid,2,1.231
ΔmutS,15,7,nalidixic acid,2,1.441
ΔmutS,16,1,nalidixic acid,0,1.559
ΔmutS,17,1,nalidixic acid,0,1.62
ΔmutS,18,1,nalidixic acid,0,1.503
ΔmutS,19,1,nalidixic acid,0,1.64
ΔmutS,20,1,nalidixic acid,0,1.597
